rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Slow Mobile LCP,URGENT,Performance,Medium,2-5 days,5,10,yes,conversion,"The page's main content takes an excessive 46.4 seconds to appear on mobile, causing most visitors to bounce.","The page's main content takes an excessive 46.4 seconds to appear on mobile, causing most visitors to bounce.",notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 46.4 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_1_lab_largest_contentful_paint_46_4s_mobile.html
2,Mobile Layout Shifts,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,Significant layout shifts during mobile page load cause mis-taps and a frustrating user experience.,Significant layout shifts during mobile page load cause mis-taps and a frustrating user experience.,notes: Cumulative Layout Shift ≤ 0.1 (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Cumulative Layout Shift 0.73 against a ‘good’ threshold of 0.1. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_lab_cumulative_layout_shift_0_73_mobile.html
3,Mobile Main Thread Blocked,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Excessive script execution freezes the main thread for 2,140 ms on mobile, making the page unresponsive during load.","Excessive script execution freezes the main thread for 2,140 ms on mobile, making the page unresponsive during load.",notes: Total Blocking Time ≤ 200ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Total Blocking Time 2,140 ms against a ‘good’ threshold of 200ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_lab_total_blocking_time_2140ms_mobile.html
4,Heavy Third-Party Scripts,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 65 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 33 inline and 32 external <script> tags, 403 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_heavy_third_party_script_load.html
5,Slow Blog LCP Mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,Measured in a lab load on /blogs/countrynomad/content-delivery-network-cdn: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,Measured in a lab load on /blogs/countrynomad/content-delivery-network-cdn: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 6.1 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_lab_largest_contentful_paint_6_1s_mobile_blog.html
6,Blog Mobile Layout Shifts,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Measured in a lab load on /blogs/countrynomad/content-delivery-network-cdn: the layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.","Measured in a lab load on /blogs/countrynomad/content-delivery-network-cdn: the layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.",notes: Cumulative Layout Shift ≤ 0.1 (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Cumulative Layout Shift 0.265 against a ‘good’ threshold of 0.1. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_6_lab_cumulative_layout_shift_0_265_mobile_blog.html
7,Generic Value Proposition,MEDIUM,Homepage,Low,0.5-2 days,5,10,no,conversion,The hero headline promises reliability but does not articulate why Nomad is better than alternatives in terms customers use.,The hero headline promises reliability but does not articulate why Nomad is better than alternatives in terms customers use.,h1: No Contracts. Works Where Cable Won't.; notes: Include specific customer benefit.,The page's main headline reads “Reliable Internet That Works Anywhere in the U.S”.,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_value_proposition_not_in_visitor_words.html
8,Inconsistent Pricing Display,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"The same plans show conflicting monthly prices across pages, undermining trust in the stated cost.","The same plans show conflicting monthly prices across pages, undermining trust in the stated cost.",notes: Standardize the displayed monthly price across all pages.,Prices shown on the page: $99.95 /month $129.95 /month $99.95/Mo $99.95 /month $129.95 /month $99.95 | Prices shown on the page: $99.95 /month $129.95 /month $99.95/mo $0.00 $99.95 $99.99,"Message Clarity, Pricing & Cost Transparency",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_pricing_inconsistency_across_pages.html
9,Unclear One-Time Fees,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,trust,"One-time prices are listed without explanation, leaving the total cost ambiguous.","One-time prices are listed without explanation, leaving the total cost ambiguous.",notes: Add clear labels explaining what each one-time fee covers.,A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_unclear_one_time_fee_disclosure.html
10,Competing Primary CTAs,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Each page presents several equally prominent CTAs, creating ambiguity about which action advances the conversion funnel.","Each page presents several equally prominent CTAs, creating ambiguity about which action advances the conversion funnel.",cta: Single primary CTA; notes: Designate one primary CTA and de-emphasize secondary ones.,"7 distinct calls to action compete on the same page: “CHECK COVERAGE”, “CHECK IF IT WORKS AT MY ADDRESS”, “SEE MY OPTIONS”, “GET STARTED”, “START CHAT”, “SEE WHAT I QUALIFY FOR”, “CHECK MY COVERAGE”. | 5 distinct calls to action compete on the same page: “CHECK COVERAGE”, “Learn More”, “Watch on”, “SEE WHAT I QUALIFY FOR”, “CHECK MY COVERAGE”.",Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_multiple_competing_primary_ctas.html
